               epoch,Precision (Seed=0),Precision (Seed=42),Precision (Seed=1337),Precision (Mean),Recall (Seed=0),Recall (Seed=42),Recall (Seed=1337),Recall (Mean),F1_score (Seed=0),F1_score (Seed=42),F1_score (Seed=1337),F1_score (Mean)
0,0.70421,0.71148,0.66642,0.694036667,0.7378,0.74023,0.66094,0.71299,0.720613779,0.725570314,0.663668688,0.70328426
1,0.72532,0.69965,0.68913,0.7047,0.78097,0.77106,0.77467,0.775566667,0.752117003,0.733621352,0.729400652,0.738379669
2,0.71943,0.6418,0.66985,0.677026667,0.7817,0.78349,0.78188,0.782356667,0.749273455,0.705602203,0.721542323,0.72547266
3,0.71271,0.7355,0.77377,0.74066,0.7609,0.76769,0.75234,0.76031,0.736017045,0.751250334,0.762904537,0.750057306
4,0.69925,0.6439,0.70608,0.683076667,0.77805,0.75865,0.77822,0.77164,0.736548382,0.696580849,0.740396925,0.724508719
5,0.7732,0.77341,0.7632,0.769936667,0.80273,0.78923,0.78159,0.791183333,0.787688331,0.78123992,0.772285538,0.780404596
6,0.79701,0.75821,0.77301,0.776076667,0.79526,0.78069,0.79969,0.79188,0.796134038,0.769285808,0.786123694,0.783847847
7,0.75763,0.77509,0.75905,0.763923333,0.79244,0.77928,0.79183,0.78785,0.774644135,0.777179353,0.775093575,0.775639021
8,0.61858,0.74953,0.69192,0.686676667,0.60778,0.81581,0.76005,0.72788,0.613132445,0.781266778,0.724386586,0.706261936
9,0.6969,0.7717,0.73485,0.734483333,0.45037,0.76624,0.78286,0.66649,0.54714732,0.768960308,0.758095645,0.691401091
10,0.73203,0.77093,0.72352,0.74216,0.53573,0.81724,0.68159,0.678186667,0.618682451,0.793409815,0.701929382,0.704673883
11,0.79424,0.80799,0.77731,0.79318,0.80914,0.81024,0.80091,0.806763333,0.801620768,0.809113436,0.788933548,0.799889251
12,0.72644,0.76442,0.78151,0.757456667,0.79263,0.80486,0.80516,0.800883333,0.758092961,0.784118935,0.793158743,0.77845688
13,0.65968,0.68451,0.78222,0.708803333,0.45177,0.59515,0.80682,0.617913333,0.536278975,0.636709949,0.794329583,0.655772836
14,0.80277,0.77668,0.8113,0.796916667,0.80179,0.8312,0.83404,0.822343333,0.802279701,0.803015668,0.822512857,0.809269408
15,0.80956,0.80439,0.80979,0.807913333,0.83957,0.8397,0.81174,0.830336667,0.824291947,0.821665825,0.810763827,0.8189072
16,0.80244,0.80505,0.80285,0.803446667,0.83687,0.84263,0.80853,0.829343333,0.819293438,0.823411441,0.805679989,0.816128289
17,0.78568,0.76748,0.79229,0.781816667,0.8432,0.78308,0.84019,0.822156667,0.813424409,0.775201525,0.815537262,0.801387732
18,0.75735,0.81048,0.7984,0.788743333,0.74807,0.83156,0.83611,0.805246667,0.752681397,0.820884691,0.816819994,0.796795361
19,0.82996,0.80907,0.80954,0.81619,0.81701,0.83739,0.83966,0.831353333,0.823434088,0.82298644,0.824324953,0.823581827
20,0.81592,0.82375,0.82796,0.822543333,0.83907,0.84171,0.83531,0.838696667,0.827333089,0.832633161,0.83161876,0.830528337
21,0.80564,0.83299,0.80195,0.813526667,0.8525,0.83872,0.85943,0.850216667,0.828407855,0.83584518,0.829695661,0.831316232
22,0.81074,0.80265,0.80208,0.805156667,0.8448,0.85011,0.84825,0.84772,0.827419636,0.825698579,0.824519169,0.825879128
23,0.80272,0.80723,0.80142,0.80379,0.85655,0.85196,0.85774,0.855416667,0.828761824,0.828992063,0.828624112,0.828792666
24,0.81609,0.82747,0.82004,0.8212,0.8623,0.83741,0.84692,0.848876667,0.838558865,0.832410327,0.833263278,0.834744157
25,0.83713,0.82905,0.82668,0.830953333,0.83567,0.8273,0.83415,0.832373333,0.836399363,0.828174076,0.830398201,0.831657213
26,0.81005,0.82383,0.81818,0.817353333,0.83691,0.85034,0.81623,0.834493333,0.823260972,0.836875111,0.817203837,0.825779973
27,0.8254,0.83778,0.81919,0.827456667,0.85307,0.83563,0.85192,0.846873333,0.839006927,0.836703619,0.835234479,0.836981675
28,0.83953,0.82443,0.84853,0.837496667,0.84827,0.8498,0.84451,0.847526667,0.843877371,0.836922781,0.846515227,0.84243846
29,0.83541,0.81586,0.82764,0.826303333,0.84988,0.86375,0.84907,0.854233333,0.84258288,0.839122266,0.838218052,0.839974399
30,0.82337,0.82222,0.83527,0.826953333,0.84458,0.84492,0.83633,0.841943333,0.833840145,0.833415457,0.835799664,0.834351755
31,0.81495,0.82589,0.82075,0.82053,0.81273,0.85703,0.85207,0.84061,0.813838486,0.8411719,0.8361168,0.830375729
32,0.83388,0.84406,0.83389,0.837276667,0.85903,0.8497,0.86304,0.857256667,0.846268185,0.84687061,0.848214629,0.847117808
33,0.84589,0.83882,0.82813,0.837613333,0.85262,0.85779,0.85412,0.854843333,0.849241667,0.848198947,0.840924233,0.846121616
34,0.83619,0.84317,0.82677,0.835376667,0.86089,0.85585,0.84666,0.854466667,0.848360253,0.849462684,0.836596796,0.844806578
35,0.83894,0.8294,0.84385,0.837396667,0.85679,0.85199,0.86728,0.858686667,0.847771052,0.840543248,0.85540459,0.847906297
36,0.85208,0.86323,0.8584,0.857903333,0.85517,0.83954,0.85332,0.849343333,0.853622204,0.851220205,0.855852462,0.853564957
37,0.8474,0.84472,0.8533,0.848473333,0.85642,0.85699,0.85336,0.85559,0.851886124,0.850810764,0.853329999,0.852008962
38,0.84005,0.8325,0.85105,0.8412,0.86854,0.87749,0.85482,0.86695,0.854057471,0.854403154,0.852930834,0.853797153
39,0.85735,0.84022,0.84902,0.848863333,0.86147,0.87061,0.85216,0.861413333,0.859405062,0.855145087,0.850587102,0.85504575
40,0.83153,0.84242,0.83744,0.83713,0.84433,0.86271,0.85874,0.85526,0.837881118,0.852444281,0.847956261,0.846093887
41,0.84652,0.85383,0.85277,0.85104,0.87217,0.87129,0.86533,0.869596667,0.859153598,0.862471643,0.859004091,0.860209777
42,0.85845,0.84918,0.84505,0.850893333,0.8579,0.85813,0.87358,0.863203333,0.858174912,0.853631541,0.859078195,0.856961549
43,0.85803,0.85618,0.84764,0.85395,0.85766,0.85656,0.86248,0.8589,0.85784496,0.856369958,0.854995611,0.85640351
44,0.85547,0.85928,0.84831,0.854353333,0.8567,0.86492,0.87428,0.8653,0.856084558,0.862090776,0.861099236,0.85975819
45,0.85863,0.84784,0.84525,0.850573333,0.86384,0.87054,0.88001,0.871463333,0.861227121,0.859040065,0.862279833,0.860849006
46,0.86361,0.84924,0.85587,0.85624,0.87157,0.87503,0.87074,0.872446667,0.867571742,0.861942129,0.863240968,0.864251613
47,0.86196,0.84381,0.85798,0.854583333,0.8728,0.87891,0.86659,0.872766667,0.867346132,0.861002423,0.862263507,0.863537354
48,0.85919,0.85849,0.86266,0.860113333,0.87156,0.86795,0.86704,0.86885,0.865330795,0.863194082,0.864844454,0.864456444
49,0.85969,0.86027,0.8608,0.860253333,0.87106,0.87153,0.86915,0.87058,0.865337653,0.865863394,0.864954848,0.865385299
