epoch,mAP50 (Seed=0),mAP50 (Seed=42),mAP50 (Seed=1337),mAP50 (mean),mAP50-95 (Seed=0),mAP50-95 (Seed=42),mAP50-95 (Seed=1337),mAP50-95 (mean)
1,0.31909,0.2147,0.29682,0.27687,0.088148,0.065609,0.091706,0.081821
2,0.28438,0.53236,0.46471,0.42715,0.10127,0.20009,0.20548,0.168946667
3,0.50127,0.64147,0.47345,0.53873,0.22937,0.26109,0.18025,0.22357
4,0.65469,0.68906,0.65286,0.665536667,0.3143,0.34961,0.30752,0.32381
5,0.70496,0.76876,0.64013,0.704616667,0.38468,0.39074,0.26423,0.34655
6,0.77366,0.74906,0.68575,0.736156667,0.44058,0.4428,0.36997,0.417783333
7,0.81212,0.8327,0.82486,0.823226667,0.44333,0.50954,0.48276,0.478543333
8,0.78824,0.79858,0.82333,0.803383333,0.45233,0.45454,0.45397,0.453613333
9,0.81469,0.8238,0.83019,0.822893333,0.51137,0.50497,0.53127,0.51587
10,0.75849,0.82572,0.82785,0.80402,0.46054,0.49989,0.53351,0.49798
11,0.85658,0.83033,0.84795,0.844953333,0.55221,0.50749,0.54849,0.536063333
12,0.79312,0.84449,0.84623,0.827946667,0.50048,0.51651,0.5455,0.52083
13,0.85192,0.83979,0.81962,0.83711,0.55091,0.54387,0.52566,0.540146667
14,0.84592,0.84279,0.85785,0.848853333,0.54921,0.54381,0.57484,0.555953333
15,0.7795,0.8505,0.86615,0.83205,0.48865,0.55264,0.56241,0.534566667
16,0.85829,0.8506,0.85429,0.854393333,0.55771,0.57314,0.56261,0.564486667
17,0.86458,0.84797,0.86414,0.858896667,0.58319,0.54468,0.57168,0.566516667
18,0.81214,0.85567,0.83739,0.835066667,0.53578,0.57422,0.5499,0.5533
19,0.86509,0.85321,0.86855,0.862283333,0.58066,0.55724,0.57715,0.571683333
20,0.86042,0.85912,0.84597,0.85517,0.55462,0.58015,0.57395,0.569573333
21,0.87834,0.86815,0.84483,0.863773333,0.6012,0.584,0.58455,0.589916667
22,0.8618,0.87547,0.86354,0.866936667,0.57827,0.59865,0.59446,0.59046
23,0.86677,0.79014,0.86195,0.83962,0.59801,0.5274,0.59696,0.574123333
24,0.88557,0.8756,0.85936,0.87351,0.5977,0.60455,0.59013,0.59746
25,0.8725,0.82321,0.86522,0.853643333,0.60648,0.55528,0.59788,0.586546667
26,0.88176,0.86612,0.88247,0.876783333,0.61478,0.60535,0.61237,0.610833333
27,0.84535,0.87178,0.88757,0.868233333,0.57693,0.61019,0.6189,0.602006667
28,0.89314,0.87775,0.86061,0.877166667,0.6182,0.61568,0.59402,0.6093
29,0.87668,0.8717,0.79837,0.848916667,0.6112,0.61019,0.55071,0.5907
30,0.88877,0.88567,0.87148,0.881973333,0.62253,0.62257,0.60518,0.61676
31,0.89139,0.89096,0.87958,0.88731,0.62967,0.62892,0.61615,0.624913333
32,0.88588,0.89258,0.88372,0.887393333,0.63138,0.62881,0.61997,0.62672
33,0.88967,0.86566,0.89122,0.882183333,0.63226,0.61536,0.62411,0.62391
34,0.89301,0.89185,0.89872,0.894526667,0.637,0.63176,0.64198,0.636913333
35,0.88999,0.86627,0.89556,0.88394,0.63142,0.61165,0.6371,0.626723333
36,0.89117,0.88976,0.89353,0.891486667,0.63652,0.63309,0.63565,0.635086667
37,0.8874,0.88226,0.89122,0.88696,0.63318,0.63251,0.63362,0.633103333
38,0.88627,0.89075,0.88271,0.886576667,0.63515,0.63367,0.6297,0.63284
39,0.89485,0.88599,0.88478,0.88854,0.6387,0.63888,0.63542,0.637666667
40,0.89362,0.89169,0.89338,0.892896667,0.64562,0.6441,0.64026,0.643326667
41,0.8986,0.88854,0.89642,0.89452,0.6459,0.6394,0.64274,0.64268
42,0.88945,0.88875,0.89248,0.890226667,0.63909,0.63903,0.64382,0.640646667
43,0.89149,0.89414,0.89115,0.89226,0.64506,0.64705,0.64279,0.644966667
44,0.89483,0.88902,0.89138,0.891743333,0.64777,0.64703,0.64355,0.646116667
45,0.89664,0.89012,0.8927,0.893153333,0.64989,0.64868,0.64328,0.647283333
46,0.90065,0.89214,0.89356,0.89545,0.65301,0.64814,0.64787,0.649673333
47,0.89481,0.8958,0.89318,0.894596667,0.64764,0.65489,0.64887,0.650466667
48,0.89756,0.89434,0.89696,0.896286667,0.65457,0.6539,0.653,0.653823333
49,0.8999,0.89213,0.90152,0.89785,0.65608,0.65279,0.65669,0.655186667
50,0.90257,0.89721,0.89992,0.8999,0.65753,0.65742,0.65759,0.657513333
