epoch,mAP50 (Seed=0),mAP50 (Seed=42),mAP50 (Seed=1337),mAP50 (mean),mAP50-95 (Seed=0),mAP50-95 (Seed=42),mAP50-95 (Seed=1337),mAP50-95 (mean)
1,0.71427,0.70859,0.70365,0.708836667,0.46137,0.45335,0.45756,0.457426667
2,0.75327,0.74734,0.7294,0.743336667,0.50488,0.50301,0.47099,0.49296
3,0.77747,0.77046,0.76344,0.770456667,0.47932,0.49028,0.49116,0.48692
4,0.78441,0.7795,0.77041,0.778106667,0.52088,0.53116,0.51918,0.52374
5,0.79235,0.80657,0.79699,0.798636667,0.54398,0.55636,0.5451,0.54848
6,0.83491,0.81959,0.58086,0.74512,0.58155,0.56229,0.36582,0.50322
7,0.80409,0.78416,0.83475,0.807666667,0.55912,0.54973,0.58934,0.566063333
8,0.83885,0.81366,0.82945,0.82732,0.59057,0.56407,0.58156,0.578733333
9,0.82471,0.7415,0.82201,0.796073333,0.5923,0.48393,0.58623,0.554153333
10,0.8335,0.75601,0.84278,0.810763333,0.59957,0.52074,0.60255,0.574286667
11,0.8256,0.84452,0.85307,0.841063333,0.58882,0.6123,0.61235,0.60449
12,0.84906,0.84238,0.83078,0.84074,0.60878,0.602,0.57972,0.596833333
13,0.79703,0.83024,0.73648,0.787916667,0.54421,0.59446,0.49852,0.54573
14,0.60223,0.77554,0.86162,0.746463333,0.39263,0.54726,0.62928,0.523056667
15,0.85155,0.87544,0.85749,0.861493333,0.61726,0.63854,0.6189,0.6249
16,0.86644,0.84084,0.86318,0.85682,0.63325,0.61098,0.62704,0.623756667
17,0.85612,0.84429,0.83999,0.8468,0.62524,0.61957,0.60966,0.618156667
18,0.87376,0.85338,0.87037,0.865836667,0.64328,0.62307,0.63598,0.63411
19,0.86891,0.87574,0.86738,0.870676667,0.63772,0.64909,0.63316,0.63999
20,0.8784,0.874,0.86906,0.87382,0.65549,0.65346,0.64059,0.649846667
21,0.87731,0.87404,0.87405,0.875133333,0.65736,0.65252,0.65336,0.654413333
22,0.87641,0.85862,0.87333,0.869453333,0.65562,0.63621,0.6435,0.64511
23,0.86353,0.83274,0.86819,0.85482,0.64044,0.61238,0.63923,0.630683333
24,0.88407,0.87989,0.85524,0.873066667,0.66286,0.66195,0.63432,0.653043333
25,0.87909,0.8714,0.87947,0.876653333,0.66186,0.6542,0.66366,0.659906667
26,0.88305,0.87782,0.88619,0.882353333,0.66338,0.66359,0.66743,0.6648
27,0.88321,0.85804,0.82615,0.8558,0.66211,0.64183,0.60508,0.63634
28,0.89236,0.8845,0.89147,0.889443333,0.67479,0.67036,0.67541,0.67352
29,0.89915,0.89551,0.89029,0.894983333,0.68323,0.67778,0.66936,0.67679
30,0.89367,0.89508,0.89447,0.894406667,0.68019,0.68149,0.67444,0.678706667
31,0.89511,0.8934,0.89228,0.893596667,0.67635,0.68265,0.67623,0.67841
32,0.8954,0.89522,0.88957,0.893396667,0.68322,0.68166,0.67978,0.681553333
33,0.90432,0.89772,0.89676,0.8996,0.68723,0.68531,0.68032,0.684286667
34,0.89388,0.89342,0.89201,0.893103333,0.68799,0.68822,0.68411,0.686773333
35,0.89819,0.89823,0.89407,0.89683,0.68251,0.68149,0.67618,0.68006
36,0.89408,0.87391,0.8951,0.887696667,0.68751,0.66601,0.68104,0.678186667
37,0.9037,0.89742,0.90542,0.90218,0.69401,0.69061,0.69717,0.69393
38,0.90139,0.89635,0.89858,0.898773333,0.69828,0.68999,0.69476,0.694343333
39,0.90386,0.90363,0.90424,0.90391,0.6983,0.70037,0.69762,0.698763333
40,0.90386,0.89848,0.905,0.902446667,0.70458,0.69771,0.70268,0.701656667
41,0.89616,0.89318,0.89473,0.89469,0.69273,0.69304,0.69306,0.692943333
42,0.90227,0.9001,0.90429,0.90222,0.69957,0.7011,0.7049,0.701856667
43,0.90267,0.90143,0.90687,0.903656667,0.70356,0.70527,0.70938,0.70607
44,0.90656,0.90648,0.90721,0.90675,0.71062,0.70785,0.70909,0.709186667
45,0.9002,0.90446,0.90314,0.9026,0.70337,0.70987,0.70763,0.706956667
46,0.91052,0.91085,0.91021,0.910526667,0.71439,0.7171,0.71786,0.71645
47,0.90685,0.9108,0.91106,0.90957,0.71263,0.71591,0.7196,0.716046667
48,0.90848,0.91037,0.90754,0.908796667,0.71391,0.71629,0.71578,0.715326667
49,0.9134,0.91199,0.91303,0.912806667,0.72212,0.71971,0.72197,0.721266667
50,0.91212,0.91383,0.91139,0.912446667,0.72068,0.72249,0.7226,0.721923333
